het,	aob,	eps,	dead,	
2600,	7.757440e-14,	4.141568e-15,	7.853982e-23,	7.853982e-23,	
2700,	8.775830e-14,	4.185831e-15,	7.853982e-23,	7.853982e-23,	
2800,	9.927935e-14,	4.230568e-15,	7.853982e-23,	7.853982e-23,	
2900,	1.123131e-13,	4.275785e-15,	7.853982e-23,	7.853982e-23,	
3000,	1.270583e-13,	4.321487e-15,	7.853982e-23,	7.853982e-23,	
3100,	1.437395e-13,	4.367679e-15,	7.853982e-23,	7.853982e-23,	
3200,	1.626110e-13,	4.414366e-15,	7.853982e-23,	7.853982e-23,	
3300,	1.839602e-13,	4.461555e-15,	7.853982e-23,	7.853982e-23,	
3400,	2.081126e-13,	4.509249e-15,	7.853982e-23,	7.853982e-23,	
3500,	2.354359e-13,	4.557456e-15,	7.853982e-23,	7.853982e-23,	
3600,	2.663464e-13,	4.606181e-15,	7.853982e-23,	7.853982e-23,	
3700,	3.013145e-13,	4.655429e-15,	7.853982e-23,	7.853982e-23,	
3800,	3.408726e-13,	4.705207e-15,	7.853982e-23,	7.853982e-23,	
3900,	3.856226e-13,	4.755520e-15,	7.853982e-23,	7.853982e-23,	
het,	aob,	eps,	dead,	
100,	3.553934e-15,	3.175161e-15,	7.853982e-23,	7.853982e-23,	
200,	4.020367e-15,	3.209086e-15,	7.853982e-23,	7.853982e-23,	
300,	4.548019e-15,	3.243374e-15,	7.853982e-23,	7.853982e-23,	
400,	5.144922e-15,	3.278028e-15,	7.853982e-23,	7.853982e-23,	
500,	5.820167e-15,	3.313052e-15,	7.853982e-23,	7.853982e-23,	
600,	6.584036e-15,	3.348451e-15,	7.853982e-23,	7.853982e-23,	
700,	7.448160e-15,	3.384228e-15,	7.853982e-23,	7.853982e-23,	
800,	8.425699e-15,	3.420387e-15,	7.853982e-23,	7.853982e-23,	
900,	9.531537e-15,	3.456933e-15,	7.853982e-23,	7.853982e-23,	
1000,	1.078252e-14,	3.493869e-15,	7.853982e-23,	7.853982e-23,	
1100,	1.219771e-14,	3.531200e-15,	7.853982e-23,	7.853982e-23,	
1200,	1.379865e-14,	3.568931e-15,	7.853982e-23,	7.853982e-23,	
1300,	1.560972e-14,	3.607065e-15,	7.853982e-23,	7.853982e-23,	
1400,	1.765852e-14,	3.645607e-15,	7.853982e-23,	7.853982e-23,	
1500,	1.997624e-14,	3.684560e-15,	7.853982e-23,	7.853982e-23,	
1600,	2.259821e-14,	3.723931e-15,	7.853982e-23,	7.853982e-23,	
1700,	2.556435e-14,	3.763722e-15,	7.853982e-23,	7.853982e-23,	
1800,	2.891985e-14,	3.803939e-15,	7.853982e-23,	7.853982e-23,	
1900,	3.271584e-14,	3.844587e-15,	7.853982e-23,	7.853982e-23,	
2000,	3.701016e-14,	3.885669e-15,	7.853982e-23,	7.853982e-23,	
2100,	4.186824e-14,	3.927191e-15,	7.853982e-23,	7.853982e-23,	
2200,	4.736412e-14,	3.969158e-15,	7.853982e-23,	7.853982e-23,	
2300,	5.358156e-14,	4.011574e-15,	7.853982e-23,	7.853982e-23,	
2400,	6.061528e-14,	4.054444e-15,	7.853982e-23,	7.853982e-23,	
2500,	6.857244e-14,	4.097774e-15,	7.853982e-23,	7.853982e-23,	
2600,	7.757440e-14,	4.141568e-15,	7.853982e-23,	7.853982e-23,	
2700,	8.775830e-14,	4.185831e-15,	7.853982e-23,	7.853982e-23,	
2800,	9.927935e-14,	4.230568e-15,	7.853982e-23,	7.853982e-23,	
2900,	1.123131e-13,	4.275785e-15,	7.853982e-23,	7.853982e-23,	
3000,	1.270583e-13,	4.321487e-15,	7.853982e-23,	7.853982e-23,	
3100,	1.437395e-13,	4.367679e-15,	7.853982e-23,	7.853982e-23,	
3200,	1.626110e-13,	4.414366e-15,	7.853982e-23,	7.853982e-23,	
3300,	1.839602e-13,	4.461555e-15,	7.853982e-23,	7.853982e-23,	
3400,	2.081126e-13,	4.509249e-15,	7.853982e-23,	7.853982e-23,	
3500,	2.354359e-13,	4.557456e-15,	7.853982e-23,	7.853982e-23,	
3600,	2.663464e-13,	4.606181e-15,	7.853982e-23,	7.853982e-23,	
3700,	3.013145e-13,	4.655429e-15,	7.853982e-23,	7.853982e-23,	
3800,	3.408726e-13,	4.705207e-15,	7.853982e-23,	7.853982e-23,	
3900,	3.856226e-13,	4.755520e-15,	7.853982e-23,	7.853982e-23,	
4000,	4.362450e-13,	4.806373e-15,	7.853982e-23,	7.853982e-23,	
4100,	4.935092e-13,	4.857774e-15,	7.853982e-23,	7.853982e-23,	
4200,	5.582805e-13,	4.909725e-15,	7.853982e-23,	7.853982e-23,	
4300,	6.315376e-13,	4.962231e-15,	7.853982e-23,	7.853982e-23,	
4400,	7.143877e-13,	5.015297e-15,	7.853982e-23,	7.853982e-23,	
4500,	8.080804e-13,	5.068930e-15,	7.853982e-23,	7.853982e-23,	
4600,	9.140261e-13,	5.123134e-15,	7.853982e-23,	7.853982e-23,	
4700,	1.033816e-12,	5.177916e-15,	7.853982e-23,	7.853982e-23,	
4800,	1.169245e-12,	5.233282e-15,	7.853982e-23,	7.853982e-23,	
4900,	1.322334e-12,	5.289238e-15,	7.853982e-23,	7.853982e-23,	
5000,	1.495363e-12,	5.345789e-15,	7.853982e-23,	7.853982e-23,	
5100,	1.690893e-12,	5.402941e-15,	7.853982e-23,	7.853982e-23,	
5200,	1.911810e-12,	5.460700e-15,	7.853982e-23,	7.853982e-23,	
5300,	-nan,	5.505733e-15,	7.853982e-23,	7.853982e-23,	
het,	aob,	eps,	dead,	
100,	3.553934e-15,	3.175161e-15,	7.853982e-23,	7.853982e-23,	
200,	4.020367e-15,	3.209086e-15,	7.853982e-23,	7.853982e-23,	
300,	4.548019e-15,	3.243374e-15,	7.853982e-23,	7.853982e-23,	
400,	5.144922e-15,	3.278028e-15,	7.853982e-23,	7.853982e-23,	
500,	5.820167e-15,	3.313052e-15,	7.853982e-23,	7.853982e-23,	
600,	6.584036e-15,	3.348451e-15,	7.853982e-23,	7.853982e-23,	
700,	7.448160e-15,	3.384228e-15,	7.853982e-23,	7.853982e-23,	
800,	8.425699e-15,	3.420387e-15,	7.853982e-23,	7.853982e-23,	
900,	9.531537e-15,	3.456933e-15,	7.853982e-23,	7.853982e-23,	
1000,	1.078252e-14,	3.493869e-15,	7.853982e-23,	7.853982e-23,	
1100,	1.219771e-14,	3.531200e-15,	7.853982e-23,	7.853982e-23,	
1200,	1.379865e-14,	3.568931e-15,	7.853982e-23,	7.853982e-23,	
