het,aob,
5010,200,100,
10020,200,100,
15030,200,200,
20040,265,200,
25050,357,200,
30060,400,200,
35070,446,200,
40080,576,200,
45090,738,200,
50100,818,200,
55110,967,208,
60120,1200,234,
65130,1424,266,
70140,1616,297,
75150,1826,316,
80160,2090,351,
85170,2362,373,
90180,2634,390,
95190,2871,400,
100200,3087,400,
105210,3302,400,
110220,3497,402,
115230,3719,410,
120240,3943,422,
125250,4147,434,
130260,4375,453,
135270,4598,479,
140280,4835,498,
145290,5049,525,
150300,5261,553,
155310,5464,576,
160320,5673,604,
165330,5864,621,
170340,6042,646,
175350,6243,670,
180360,6438,686,
185370,6596,715,
190380,6813,723,
195390,7015,732,
200400,7223,743,
205410,7405,764,
210420,7589,775,
215430,7781,786,
220440,7974,796,
225450,8178,816,
230460,8374,834,
235470,8560,843,
240480,8757,861,
245490,8941,871,
250500,9141,881,
255510,9329,897,
260520,9520,910,
265530,9717,923,
270540,9909,933,
275550,10100,944,
280560,10293,962,
285570,10502,975,
290580,10688,987,
295590,10894,1001,
300600,11065,1025,
305610,11262,1042,
310620,11455,1056,
315630,11497,1059,
320640,11497,1059,
325650,11497,1059,
330660,11497,1059,
335670,11497,1059,
340680,11497,1059,
345690,11497,1059,
350700,11497,1059,
355710,11497,1059,
360720,11497,1059,
365730,11497,1059,
370740,11497,1059,
375750,11497,1059,
380760,11497,1059,
385770,11497,1059,
390780,11497,1059,
395790,11497,1059,
400800,11497,1059,
405810,11497,1059,
410820,11497,1059,
415830,11497,1059,
420840,11497,1059,
425850,11497,1059,
430860,11497,1059,
435870,11497,1059,
440880,11497,1059,
445890,11497,1059,
450900,11497,1059,
455910,11497,1059,
460920,11497,1059,
465930,11497,1059,
470940,11497,1059,
475950,11497,1059,
480960,11497,1059,
485970,11497,1059,
490980,11497,1059,
495990,11497,1059,
501000,11497,1059,
506010,11497,1059,
511020,11497,1059,
516030,11497,1059,
521040,11497,1059,
526050,11497,1059,
531060,11497,1059,
536070,11497,1059,
541080,11497,1059,
546090,11497,1059,
551100,11497,1059,
556110,11497,1059,
561120,11497,1059,
566130,11497,1059,
571140,11497,1059,
576150,11497,1059,
581160,11497,1059,
586170,11497,1059,
591180,11497,1059,
596190,11497,1059,
601200,11497,1059,
606210,11497,1059,
611220,11497,1059,
616230,11497,1059,
621240,11497,1059,
626250,11497,1059,
631260,11497,1059,
636270,11497,1059,
641280,11497,1059,
646290,11497,1059,
651300,11497,1059,
656310,11497,1059,
661320,11497,1059,
666330,11497,1059,
671340,11497,1059,
676350,11497,1059,
681360,11497,1059,
686370,11497,1059,
691380,11497,1059,
696390,11497,1059,
701400,11497,1059,
706410,11497,1059,
711420,11497,1059,
716430,11497,1059,
721440,11497,1059,
726450,11497,1059,
731460,11497,1059,
736470,11497,1059,
741480,11497,1059,
746490,11497,1059,
751500,11497,1059,
756510,11497,1059,
761520,11497,1059,
766530,11497,1059,
771540,11497,1059,
776550,11497,1059,
781560,11497,1059,
786570,11497,1059,
791580,11497,1059,
796590,11497,1059,
801600,11497,1059,
806610,11497,1059,
811620,11497,1059,
816630,11497,1059,
821640,11497,1059,
826650,11497,1059,
het,aob,
5010,200,100,
10020,200,100,
15030,200,200,
