sub,o2,nh4,no2,no3,
5010,2.850913e-05,1.000000e-05,4.766560e-06,1.000000e-07,1.000000e-07,
10020,2.764963e-05,1.000000e-05,4.256129e-06,1.000000e-07,1.000000e-07,
15030,2.688964e-05,1.000000e-05,3.952209e-06,1.000000e-07,1.000000e-07,
20040,2.610942e-05,1.000000e-05,3.742354e-06,1.000000e-07,1.000000e-07,
25050,2.523929e-05,1.000000e-05,3.574974e-06,1.000000e-07,1.000000e-07,
30060,2.423168e-05,1.000000e-05,3.425075e-06,1.000000e-07,1.000000e-07,
35070,2.304926e-05,1.000000e-05,3.280898e-06,1.000000e-07,1.000000e-07,
40080,2.166440e-05,1.000000e-05,3.139568e-06,1.000000e-07,1.000000e-07,
45090,2.005707e-05,1.000000e-05,3.000357e-06,1.000000e-07,1.000000e-07,
50100,1.821095e-05,1.000000e-05,2.859233e-06,1.000000e-07,1.000000e-07,
55110,1.615737e-05,1.000000e-05,2.722526e-06,1.000000e-07,1.000000e-07,
60120,1.394511e-05,1.000000e-05,2.586284e-06,1.000000e-07,1.000000e-07,
65130,1.174039e-05,1.000000e-05,2.455464e-06,1.000000e-07,1.000000e-07,
70140,9.824232e-06,1.000000e-05,2.334776e-06,1.000000e-07,1.000000e-07,
75150,8.269517e-06,1.000000e-05,2.214187e-06,1.000000e-07,1.000000e-07,
80160,7.228870e-06,1.000000e-05,2.101226e-06,1.000000e-07,1.000000e-07,
85170,6.764036e-06,1.000000e-05,2.008183e-06,1.000000e-07,1.000000e-07,
90180,6.241481e-06,1.000000e-05,1.912713e-06,1.000000e-07,1.000000e-07,
95190,5.990102e-06,1.000000e-05,1.829573e-06,1.000000e-07,1.000000e-07,
100200,5.825153e-06,1.000000e-05,1.754275e-06,1.000000e-07,1.000000e-07,
105210,5.728923e-06,1.000000e-05,1.694002e-06,1.000000e-07,1.000000e-07,
110220,5.674579e-06,1.000000e-05,1.637003e-06,1.000000e-07,1.000000e-07,
115230,5.461400e-06,1.000000e-05,1.580068e-06,1.000000e-07,1.000000e-07,
120240,5.582666e-06,1.000000e-05,1.548834e-06,1.000000e-07,1.000000e-07,
125250,5.638538e-06,1.000000e-05,1.524730e-06,1.000000e-07,1.000000e-07,
130260,5.466928e-06,1.000000e-05,1.487775e-06,1.000000e-07,1.000000e-07,
135270,5.276639e-06,1.000000e-05,1.453272e-06,1.000000e-07,1.000000e-07,
140280,5.348715e-06,1.000000e-05,1.435615e-06,1.000000e-07,1.000000e-07,
145290,5.323603e-06,1.000000e-05,1.416992e-06,1.000000e-07,1.000000e-07,
150300,5.429638e-06,1.000000e-05,1.418265e-06,1.000000e-07,1.000000e-07,
155310,5.449647e-06,1.000000e-05,1.412168e-06,1.000000e-07,1.000000e-07,
160320,5.369070e-06,1.000000e-05,1.401690e-06,1.000000e-07,1.000000e-07,
165330,5.193668e-06,1.000000e-05,1.387886e-06,1.000000e-07,1.000000e-07,
170340,5.302758e-06,1.000000e-05,1.399483e-06,1.000000e-07,1.000000e-07,
175350,5.577903e-06,1.000000e-05,1.425157e-06,1.000000e-07,1.000000e-07,
180360,5.321223e-06,1.000000e-05,1.409888e-06,1.000000e-07,1.000000e-07,
